algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,29788,295,0.866628,0.065512,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1242,150,0.950852,0.031263,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1340,150,0.950852,0.031263,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,218,147,0.842627,0.032645,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1119,147,0.842627,0.032645,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,48006,639,0.726015,0.162389,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3739,321,0.897039,0.070179,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3799,320,0.897235,0.069945,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,311,318,0.687184,0.080690,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2936,318,0.738412,0.077372,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,30460,335,0.901004,0.073176,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1402,166,0.999593,0.033788,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1518,166,0.999593,0.033788,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,219,167,0.934068,0.035188,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1158,166,0.999593,0.033788,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,46730,761,0.387795,0.294961,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5061,382,0.532770,0.114337,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5201,382,0.532770,0.114337,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,377,382,0.442810,0.129492,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3370,382,0.530573,0.114646,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,29066,291,0.720390,0.071622,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1213,148,0.792790,0.033992,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1318,148,0.792790,0.033992,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,209,145,0.702212,0.035688,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1116,145,0.702212,0.035688,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,33613,323,0.806988,0.074786,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1373,164,0.894757,0.035330,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1462,164,0.894757,0.035330,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,214,161,0.783279,0.037277,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1228,161,0.788794,0.037131,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,43723,647,0.573039,0.190015,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3783,325,0.721382,0.080207,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3833,325,0.721382,0.080207,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,314,322,0.545048,0.094373,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2955,322,0.587917,0.089919,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,44655,754,0.389892,0.290895,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2796,196,0.518599,0.058577,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2870,196,0.518599,0.058577,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,357,195,0.471763,0.062082,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1503,195,0.514295,0.058594,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,43709,789,0.415501,0.292006,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5380,396,0.571639,0.113435,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,5529,396,0.571639,0.113435,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,385,394,0.441009,0.134105,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3781,394,0.529637,0.118532,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,32745,289,0.619930,0.077814,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1209,147,0.684976,0.036722,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1301,147,0.684976,0.036722,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,210,144,0.605542,0.038762,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1117,144,0.622200,0.038115,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,40301,307,0.517387,0.092946,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1307,156,0.579640,0.043213,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1376,156,0.579640,0.043213,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,211,153,0.505200,0.046322,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1170,153,0.508199,0.046140,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,43428,636,0.642042,0.173818,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2247,171,0.776954,0.039814,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2309,171,0.776954,0.039814,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,325,169,0.718258,0.041149,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1289,169,0.766451,0.039643,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,36514,323,0.806988,0.074786,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1365,164,0.894757,0.035330,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1463,164,0.894757,0.035330,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,215,161,0.783279,0.037277,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1226,161,0.788794,0.037131,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,41567,613,0.639175,0.167578,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2216,175,0.769827,0.040974,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2279,174,0.770007,0.040730,post
